geo,Region,Unemployment_BABS,Unemployment_HS,Poverty_BABS,Poverty_HS,Working Poor_BABS,Working Poor_HS,Full Time_BABS,Full Time_HS,Rent Burden_BABS,Rent Burden_HS,Homeownership_BABS,Homeownership_HS,Income_BABS,Income_HS
Total GEOG-101,Overall,1.3767549619,0.8740252881,2.0143837521,1.2590470658,0.0717377028,0.2059735817,1.0149573336,0.9987063594,1.6957216633,1.1059171023,0.750515683,0.6386523785,0.8682233598,0.8300954487
"Albany County (East Central)--Albany City PUMA, New York",Capital Region,0,0,5.3082442222,1.9983425341,0,0.3354065089,0.4929122009,1.154937507,2.7024137194,2.2328525708,0.8548691594,1.3095387063,0.7534353651,2.1994871174
"Albany County (Outside Albany City) PUMA, New York",Capital Region,6.5996465166,6.0770036459,0.3760068466,1.313265088,0,0.2448031874,1.0231898397,0.6513219718,0,0.9968419813,0.5847983799,0.7408585239,0.9568036703,0.8909581102
"Broome (Outer West) & Tioga Counties PUMA, New York",Southern Tier,0,0,0,2.3062755141,0,0.6367713346,1.1448004589,0.6092129101,#DIV/0!,7.7093596059,1.1308582308,0.9043090685,1.0558869314,1.9204204791
"Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA, New York",Southern Tier,6.3135578351,3.3639861619,2.2691116179,2.0917489224,0.2070001153,0.7305153476,1.0342762948,1.1179133986,2.9887269865,1.1545321881,0.4509897328,1.1157674108,1.2646270153,0.4698508633
"Cattaraugus & Allegany Counties PUMA, New York",Western NY,0,3.9567908727,0,0.4653130358,0,1.2280674964,1.1907489921,0.188933461,#DIV/0!,#DIV/0!,1.2142790218,1.3355930035,4.7736226544,0.1634475167
"Cayuga & Onondaga (South) Counties PUMA, New York",Central NY,0,0,0,0,0,0,1.1719801346,0.2801011509,#DIV/0!,#DIV/0!,1.1626967544,1.0634462366,1.3361573824,1.310215312
"Chautauqua County PUMA, New York",Western NY,0,0,3.1517552804,0,0.3667284559,0,1.1460264248,1.2413924886,#DIV/0!,#DIV/0!,1.1984225452,1.3341425351,0.2811737715,0.743028908
"Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA, New York",Southern Tier,0,0,0.3170028351,1.6606050966,0.0401985435,0,1.0142707073,0.6461304385,0,#DIV/0!,0.946667481,1.6604263112,2.430799622,0.8642419822
"Chenango, Delaware & Broome (East) Counties PUMA; New York",Southern Tier,0,0,0.18860187,2.8034157544,0,1.1883288065,1.1711122966,0.5668464997,0,0,0.1272084586,1.059068491,1.1571235958,0.2842975363
"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",North Country,0,0,2.3856188215,0.8838044786,0.4150839748,0,0.7002462315,1.0443453955,#DIV/0!,0,1.1967836575,0.6352354572,0.733974709,0.6938023211
"Columbia & Greene Counties PUMA, New York",Capital Region,0,0,0,0.8807655994,0,0.1732437078,0.9487861503,0.6629931836,#DIV/0!,0.7634230177,1.2033152033,1.0256688286,2.9084412921,0.3930809502
"Dutchess County (North & East) PUMA, New York",Mid-Hudson,0,2.0220071451,2.1742081806,2.7673005164,0,0.1443153488,0.8117064169,1.0746314111,0,0,1.0448848052,0.8062810988,0.8041844731,0.8868004728
"Dutchess County (Southwest) PUMA, New York",Mid-Hudson,1.4494435276,0.1458835439,1.5255240268,2.3908763365,0,0.1876767784,0.9905340945,0.7805653341,0,1.3987530609,0.968142646,0.628291605,1.3005466344,0.6931096126
"Erie County (Central) PUMA, New York",Western NY,11.0244400737,0,5.1882161595,2.6953040161,0.1085248205,0.3651514092,0.9343460681,1.0545769643,7.8755622189,0.7313246657,0.9124037905,0.8333363392,0.8397106907,0.7150841556
"Erie County (North Central) PUMA, New York",Western NY,1.1888408929,0,6.9773166451,6.1781979479,0.0405775482,0.5932873274,1.0964981595,0.9630808791,1.0539351475,1.6995445649,0.3682347335,0.2661176474,1.2485295514,0.4230773606
"Erie County (Northeast) PUMA, New York",Western NY,0,0,3.649219721,0,0,0,1.0325056558,0.4780458782,#DIV/0!,#DIV/0!,1.0778584036,1.2161949404,1.8522360156,0.6562029855
"Erie County (Northwest) PUMA, New York",Western NY,22.0112274937,0,2.8533407421,4.0276811215,0,0.8336608299,0.8843421845,1.3084543618,15.5518789593,0,0.3453291112,0.3872270541,0.8276055231,0.5936197712
"Erie County (South) PUMA, New York",Western NY,0,0,0,2.8216352809,0,0.6553466117,0.9191620823,1.2010229741,#DIV/0!,0,0.3839231129,0.7511642333,0.4900937459,0.7503187987
"Erie County (West Central)--Buffalo City (East) PUMA, New York",Western NY,0,4.9512636919,8.4577665844,1.7311406564,0,0.5085220908,0.4998809701,1.1783901631,0,0,0.3544998782,1.3712272007,0.8822836669,0.399961351
"Erie County (West Central)--Buffalo City (West) PUMA, New York",Western NY,4.3326779206,0.5514898727,3.5238084421,1.6154574455,0.1353330074,0.7571300962,0.7965608163,0.9578451342,2.1553934959,0.1484988865,0.1884099158,0.3159007774,0.5939790565,1.0067741782
"Fulton & Montgomery Counties PUMA, New York",Mohawk Valley,0,0,0,0,0,0,0.9688238335,0.9827527249,0,0,0.6824216315,0.6014590124,0.7297235063,0.7789786459
"Genesee & Orleans Counties PUMA, New York",Finger Lakes,0,0,11.7514701629,1.3879593004,0.4150770857,0.1792413773,1.215582894,1.0061226306,#DIV/0!,#DIV/0!,1.0788746546,1.2962291136,0.4832553397,0.5613474432
"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",Mohawk Valley,0,0,0,1.9647925899,0,0.2458273666,1.1642897889,1.2086512189,0,3.4094858798,0.0610278919,1.2373132568,1.2684948543,0.4993292786
"Jefferson & Lewis Counties PUMA, New York",North Country,0,6.7992536693,3.6026662074,0.5661270161,0,0.3528896903,0.8073916086,0.333900505,0,3.1295838144,0.8785082118,0.4761665716,1.4973897374,0.5358372434
"Livingston & Wyoming Counties PUMA, New York",Finger Lakes,0,0,0,0,0,0,1.1524448706,0.5376523304,#DIV/0!,0,1.1201438849,0.6386687441,1.2650411891,0.8500248781
"Madison & Cortland Counties PUMA, New York",Central NY,0,0,0,0.657807309,0,0.2832202016,1.0888230826,1.220025484,0,0,0.4895896131,0.1795686929,3.0303427472,0.257245077
"Monroe County (Central)--Greece & Gates Towns PUMA, New York",Finger Lakes,#DIV/0!,6.6538685282,3.3083239177,1.2761234584,0,0,0.5567007491,1.0082086093,#DIV/0!,#DIV/0!,1.0082284627,1.3044152822,0.8530364115,0.8237967416
"Monroe County (Central)--Rochester City (East) PUMA, New York",Finger Lakes,24.3475613292,0,1.3681152923,0.7492639815,0.1099288116,0.2813931832,0.8942515605,0.7901326132,3.2206028045,0.7952810104,1.5011910615,0.9321137453,0.8125333369,0.7361169011
"Monroe County (Central)--Rochester City (West) PUMA, New York",Finger Lakes,0,0,1.0015646719,1.6420108138,0,0.8937236441,0.7049975365,1.199766204,62.6578947368,0.4837190779,1.2171186623,0.7169203955,1.0271042747,0.5950672573
"Monroe County (East) PUMA, New York",Finger Lakes,13.6621315582,0.845388959,2.4302324987,0,0,0,1.1600341323,1.1637926278,0,0,0.5416910075,1.1426459571,1.2431522894,0.744190207
"Monroe County (North & West) PUMA, New York",Finger Lakes,0,0,0,0,0,0,1.1568099053,1.275603737,0,#DIV/0!,0.8097069302,1.3419740778,1.404885364,1.5621311517
"Monroe County (South) PUMA, New York",Finger Lakes,6.2197599261,1.3461013497,2.0371838657,1.4298322833,0,0.2653889569,0.9995773757,1.2026605196,1.7799704513,0,0.7077852298,1.2546523561,0.9987034657,0.6174191715
"Nassau County (Central)--Hempstead Town (East Central) PUMA, New York",Long Island,0,1.2594493845,2.0989557961,0.4310214527,0,0,1.141844722,0.971571072,#DIV/0!,#DIV/0!,1.0644568757,1.1402907155,1.1123395875,0.7598741534
"Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA, New York",Long Island,0,1.0199365146,2.0628789424,1.4044374029,0.1575333159,0.3534506016,1.0763105826,0.9861809553,0.3790546957,1.8520625105,0.7887891668,0.9165642572,0.8751185307,0.6530032913
"Nassau County (Central)--Hempstead Town (Northeast) PUMA, New York",Long Island,1.1945511793,1.3918868272,0,0.3460898443,0,0.0499612063,1.0042092511,1.1248699414,#DIV/0!,0.7008555133,1.121390556,0.7449784486,0.9319287986,0.8597105948
"Nassau County (East Central)--Oyster Bay Town (Central) PUMA, New York",Long Island,0.448256793,0,0.900059258,0.9402028027,0,0,1.0855311266,0.9501258248,0.7452103496,0,0.9331013547,0.9591040052,0.6908701138,1.3603471392
"Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA, New York",Long Island,0.8417422281,0,1.4313204445,1.3743633336,0.0310571011,0.1903981752,1.1124725336,1.2822460566,1.6210148238,1.7234938998,0.8557925245,0.8412819434,0.703525457,0.6766021581
"Nassau County (Northwest)--North Hempstead Town (North) PUMA, New York",Long Island,0.5171051792,1.4591546012,1.7580877161,0.9591142632,0.0261369154,0.0788022183,1.1516034428,1.0639049642,#DIV/0!,0.5239303425,0.8573475015,0.7074071437,0.6117476638,0.9232019645
"Nassau County (South Central)--Hempstead Town (Southeast) PUMA, New York",Long Island,9.2622580049,0.2813253892,0,1.4209532066,0,0.1540309138,0.9540850484,1.1063274756,0,1.3099429299,0.9201609695,0.8972957896,0.7582025108,0.5955440599
"Nassau County (Southeast)--Oyster Bay Town (South) PUMA, New York",Long Island,7.6015954743,0,2.704008476,0,0,0,1.0075091854,1.0209913864,#DIV/0!,#DIV/0!,1.0701143496,1.15810439,0.7532020999,0.619880018
"Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA, New York",Long Island,0,0.6687275153,0,4.5784421538,0,0.164003644,1.121004258,0.7380867534,0,2.1560664217,0.6321928897,1.1595370163,0.8207923412,1.1116339454
"Nassau County (West Central)--Hempstead Town (Northwest) PUMA, New York",Long Island,0.933510491,0.340320686,4.8701803673,0.3978683789,0,0.0288122344,1.0618618309,0.9513937309,0,0,0.892395038,1.0790921848,1.2507410747,0.6694493357
"Nassau County (West Central)--Hempstead Town (West Central) PUMA, New York",Long Island,0,1.6652851923,0,1.8148572763,0,0.0805442177,1.0972441078,1.1212111381,0,4.0648958493,1.104940804,1.1130634744,0.5718987649,0.8142065474
"Nassau County (West Central)--North Hempstead Town (South) PUMA, New York",Long Island,0.3786218166,0,0.577310283,0.0990194619,0.016107812,0,1.0845677273,1.2364201443,1.0900039825,0,0.9199111412,1.1782776705,0.8714544135,0.85095951
"Niagara County (North & East) PUMA, New York",Western NY,#DIV/0!,5.9244281046,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,5.4141315015,#DIV/0!,0.4747533749,#VALUE!,#VALUE!
"Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA, New York",Western NY,0,3.5417193562,1.2512788522,2.4220617892,0,0.7777510481,1.1590795896,1.0605078198,#DIV/0!,0,1.1076008575,1.2448829811,0.2314272801,0.3302163784
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",New York,1.3664171627,0.2799497545,0.5219309047,0.7342991427,0,0.4494383447,1.0351125384,1.2430654497,0.2831490238,0.5743724381,0.2229883536,1.5466781672,0.8506046163,0.8358583789
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",New York,0.3413214924,0.1053589681,0.1282090664,0.8119536983,0.0136006227,0,0.9173402968,0.7829160707,0,3.3481770267,1.06877945,1.1842852412,0.8633853531,1.1368491667
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",New York,10.5631264558,0.3972645354,0.6554734077,0.9848361876,0,0.1833659323,1.1267964931,0.9870337323,0.659793343,1.317078474,1.0261736363,0.9305252341,1.0010080054,0.8625751086
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",New York,1.18138631,0.1933727069,4.8350998725,1.1091563877,0.2439217695,0.2042276711,0.9892018978,0.8647191423,6.1879862122,1.154271806,0.9354758952,1.0037633606,0.8980789779,1.1203474613
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",New York,0.2314634513,0.4532310987,1.0566796736,0.7753101409,0.1408268456,0.3549780042,1.0755104343,1.3300584241,1.1915425779,0.6301321739,0.6824049945,0.7131472599,0.730599061,0.8235913843
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",New York,0.8624582244,1.1035284149,2.0660878471,0.8539019979,0.3374846783,0.3466145064,1.367629785,1.15773676,3.3268330733,0.8958059309,0.0567923098,0.1907701666,0.8674659174,0.8028763034
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",New York,0,0.722978181,1.377536913,0.7289358668,0.167049803,0.3616995469,1.0589266368,1.1999658973,0.5606858938,0.6190225523,0,1.65674517,0.6810468571,1.0903224047
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",New York,2.5288087243,1.4775106639,0.8545286157,1.6493489274,0.0575371358,0.2797525579,0.929086155,0.8962439232,0.7825674517,1.0026845259,0.9058650675,0.4220158759,0.8906451353,0.9506602808
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",New York,0,0.0916569984,1.0267051202,0.6768697472,0,0.08922281,1.0598965942,0.9326957518,0,0.6445356003,0.8951715202,0.8772330416,0.6201812137,0.8530830071
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",New York,0,0.5755693326,3.0413143298,0.927021655,0.2130933348,0.2951628453,0.9063697254,0.8614067743,4.3874015497,1.2310243954,1.2813916057,0.7587579788,0.6829757744,0.8770987542
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",New York,5.0017074729,0.6904423572,3.7075859837,0.9998345494,0.0193558393,0.3843403342,0.7608750068,0.9379010808,1.6245764403,0.4459491422,1.8468357279,1.0493792702,1.096561225,1.2914780184
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",New York,1.4104819677,0.7175942596,2.1621533013,2.2845640508,0.113459745,0.479965895,1.0501272865,0.760531515,2.2831967708,1.3771324516,0.9337294509,0.6021325628,0.7691610165,0.4954044659
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",New York,0.2885598336,0.5893288891,1.1101481531,1.7130192693,0.1463156352,0.2000369941,1.0957377336,1.0570398681,0.9418237258,1.677338705,0.8317003626,1.1482584544,1.0029651071,0.7392896368
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",New York,0.2888532713,0.6351119327,3.1933393987,1.1841842412,0.3510806626,0.5620898401,1.132438841,0.7663319917,1.6545414832,1.1092572073,0.9062552834,0.6573514973,0.8156215597,0.6130966741
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",New York,#DIV/0!,0.4160416957,0.4767783374,0.6895511592,0.0843607884,0.2042805678,1.1235741928,1.2136596934,1.8288016677,2.6015118332,1.0867351115,1.275064319,1.4052172109,1.2909075596
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",New York,1.2557229017,0.5238396656,1.8494333031,1.3508776905,0.1049214813,0.2790400934,0.9370992375,0.9746389745,1.7856056585,1.2539704186,0.5949881449,0.4637559897,0.803237914,0.8427435681
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",New York,2.8977666973,1.5434277145,1.1665321101,1.616137854,0.038627506,0.203968071,1.0991061217,1.0530772856,0.7383090241,0.9516910553,0.8407695761,0.6946427109,0.9390555624,0.7278030401
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",New York,0,0.2851192025,0.294455873,0.4418873462,0,0.0893218685,1.0120088972,0.8576434391,4.0802607089,0.3752756175,2.3313706464,0.54142495,1.1800799482,1.1837264497
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",New York,0.5180331951,0.4807742662,0.5153310866,0.9639123461,0.0883035956,0.1566036354,0.9997953417,0.8827115068,1.2964188828,0.499416274,0.7219487588,0.1894569999,0.8500875745,0.7732824465
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",New York,0.4561708885,0.8655022299,2.2204464791,1.4414231987,0.103307072,0.1217082242,1.0508065634,0.865940847,0.4172707453,1.0511323631,1.0179223514,1.0262424944,0.9781858503,0.9416818553
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",New York,0.9123069644,0.749298539,2.2864171067,0.8929148849,0.0135118821,0.2653141307,0.916774738,1.1154001871,1.8065611377,2.4590087061,1.1718303414,0.5352207453,1.2499269873,0.5038592099
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",New York,0.5265967762,1.1382817148,2.0575061284,1.5293864416,0.2205760319,0.6389189338,0.9386813052,0.8905035908,4.0878800026,1.8852866333,0.6250368171,0.439961136,1.1024324179,0.9565246427
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",New York,0.3870787327,0.404979152,1.5199451643,1.6936367634,0.1012710433,0.2655597582,0.5797258236,0.9134094052,2.0200340782,1.3801255357,0.5794954044,0.6213666964,0.7167339585,1.1208526251
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",New York,0.2461591704,0,1.6802642625,1.1677482724,0.036267809,0.4367356184,0.9778403335,1.085717771,0.707700584,1.4918534786,0.9856558344,0.9623235066,1.0897919111,0.8315508844
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",New York,1.5211497295,0,1.1593499309,0.6537493957,0,0.1625411354,1.0717883699,1.0924136566,0.6083355671,1.1655478473,0.8987093026,0.4775191055,0.8936924167,0.660701559
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",New York,2.3354151374,0.9720073322,0.887080126,1.25241808,0.0101744529,0.3038848161,1.004921018,1.040003771,0.6904247136,1.039048818,0.9438343313,0.5641347404,1.0640492137,0.7313757151
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",New York,2.1146657798,0.967421056,3.6541132091,1.3539866828,0.1706804463,0.3276966334,1.0416564492,0.9114432406,0.8703903257,1.4975346757,0.8275151656,0.7749581621,1.2723205267,0.8525126846
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",New York,3.3363125638,1.7370119859,1.5368776045,1.247471412,0.0400777128,0.2157928667,1.0961680646,1.0158892701,2.2998500656,1.346497376,2.3988786787,0.5334505298,1.1764831706,1.0113313107
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",New York,1.7158286133,0,2.8819939316,0.6008947302,0.0356433763,0,1.0560067338,0.7242312474,3.0102544589,0.9894713119,0.669319569,1.8257995907,0.8473892269,0.807826729
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",New York,0.6910300805,0,1.4045160636,1.1368240157,0.0542699537,0.392647602,0.8816933084,0.8263057862,1.521277931,1.1496484276,1.377768451,2.3322034644,0.7083911798,0.8815736295
