Regions,Disparity Ratio_Full Time,Score_Full Time,Grades_Full Time,Disparity Ratio_Poverty,Score_Poverty,Grades_Poverty,Disparity Ratio_Working Poor,Score_Working Poor,Grades_Working Poor,Disparity Ratio_Homeownership,Score_Homeownership,Grades_Homeownership,Disparity Ratio-Rent Burden,Score_Rent Burden,Grades_Rent Burden,Disparity Ratio-Unemployment,Score_Unemployment,Grades_Unemployment
Capital Region,0.90232226101947,-0.123479769982584,C,2.37109824916934,0.193067590068776,C,1.90381738054824,0.358562389235348,B-,0.58699249779107,-0.476434688285534,C-,0.725207781528472,0.568402496232978,B-,5.25476077658496,-2.52411161310898,E
Central NY,0.891444304325201,-0.201603186665333,C,5.31179526098322,-1.36156974668977,D-,1.61494312257531,0.519926331873611,B-,0.397539148025669,-1.27667882180014,D-,3.37079607285315,-1.55732298480568,D-,2.25457657679125,-0.604295297930194,C-
Finger Lakes,0.951098235857819,0.226820007218347,C,2.24929175517649,0.257462161376256,B-,2.16022274961224,0.215335431055974,C,0.667769737791244,-0.135234532618262,C,1.51706205200046,-0.0678510000239004,C,0.910202029077523,0.255969278687929,B-
Long Island,1.07452483538299,1.11324637711925,B,1.17746720498874,0.824096009570124,B,2.55334298095868,-0.00425987281797779,C,0.902916190696075,0.858015624673098,B,0.303249439098638,0.907445272987486,B,0.906043088780115,0.258630582429669,B-
Mid-Hudson,1.02258148668861,0.740199123117348,B-,2.00503319170617,0.386592595782937,B-,1.96371588924221,0.325103334805109,B-,0.780802331445801,0.342211076445963,B-,0.972548379111554,0.369664766518267,B-,1.08179355735844,0.14616794863532,C
Mohawk Valley,0.597759221726388,-2.31079360966669,E,0,1.44657920737332,A-,0,1.42202675170306,A-,0.726450867342453,0.112632447456331,C,0,1.15110565730219,B,0,0.83840708555726,B
New York City,1.01093155376887,0.656531519964029,B-,2.32965530085319,0.214976938273916,C,4.22588120178595,-0.938532671715708,D,1.01692505516239,1.33958496652326,A-,1.75332157416395,-0.257685105371217,C-,1.3461439245784,-0.0229897143999267,C
North Country,0.80751242347102,-0.804385996454688,D,2.7983786676659,-0.0328197044032386,C,6.72013305177506,-2.33181123959953,E,1.03462045236164,1.41432968767198,A-,0,1.15110565730219,B,0,0.83840708555726,B
Southern Tier,1.03381418372515,0.820870217489234,B,2.56959698750174,0.0881286763788305,C,2.00430492987629,0.302430467826311,B-,0.492487016117101,-0.875622442886941,D,2.77581831028863,-1.07925941207136,D,0,0.83840708555726,B
Western NY,0.903168160306565,-0.117404682138911,C,6.55066413568144,-2.01651372773116,E,2.3108081206743,0.131219077633801,C,0.391354318979986,-1.30280331717976,D-,2.90817197759896,-1.18560534807095,D,1.34864857824808,-0.0245924409856013,C
