,Total RECODE2,,,,,,,,,BABS,,,,,,,,,HS,,,,,,,,,HSINC,,,,,,,,
,Total,,,Unemployed,,,Employed,,,Total,,,Unemployed,,,Employed,,,Total,,,Unemployed,,,Employed,,,Total,,,Unemployed,,,Employed,,
null,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
Total GEOG-101,1295784,702678,593106,70935,35377,35558,1224849,667301,557548,549091,277612,271479,25530,12146,13384,523561,265466,258095,588641,322531,266110,36497,19010,17487,552144,303521,248623,158052,102535,55517,8908,4221,4687,149144,98314,50830
"St. Lawrence County PUMA, New York",1472,365,1107,0,0,0,1472,365,1107,934,160,774,0,0,0,934,160,774,490,157,333,0,0,0,490,157,333,48,48,0,0,0,0,48,48,0
"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",1114,424,690,0,0,0,1114,424,690,755,252,503,0,0,0,755,252,503,220,127,93,0,0,0,220,127,93,139,45,94,0,0,0,139,45,94
"Warren & Washington Counties PUMA, New York",573,310,263,0,0,0,573,310,263,208,208,0,0,0,0,208,208,0,365,102,263,0,0,0,365,102,263,0,0,0,0,0,0,0,0,0
"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",403,280,123,0,0,0,403,280,123,170,170,0,0,0,0,170,170,0,177,54,123,0,0,0,177,54,123,56,56,0,0,0,0,56,56,0
"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",4985,2629,2356,428,253,175,4557,2376,2181,1580,792,788,0,0,0,1580,792,788,2584,1313,1271,428,253,175,2156,1060,1096,821,524,297,0,0,0,821,524,297
"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",609,277,332,90,47,43,519,230,289,303,133,170,47,47,0,256,86,170,90,36,54,43,0,43,47,36,11,216,108,108,0,0,0,216,108,108
"Jefferson & Lewis Counties PUMA, New York",875,260,615,336,0,336,539,260,279,368,260,108,0,0,0,368,260,108,481,0,481,336,0,336,145,0,145,26,0,26,0,0,0,26,0,26
"Oswego County PUMA, New York",832,486,346,99,99,0,733,387,346,379,33,346,0,0,0,379,33,346,453,453,0,99,99,0,354,354,0,0,0,0,0,0,0,0,0,0
"Onondaga County (Central)--Syracuse City PUMA, New York",4588,2816,1772,583,332,251,4005,2484,1521,2103,1357,746,232,232,0,1871,1125,746,1668,996,672,229,100,129,1439,896,543,817,463,354,122,0,122,695,463,232
