Unemployed-FB Not White+W Hispanic,,,,
         ,Total Unemp (%),BABS-Unemp (%),HS-Unemp (%),HSINC Unemp (%)
Total GEOG-101,5.37387935454096%,4.33473426610629%,6.1783791246721%,5.50259556394526%
"St. Lawrence County PUMA, New York",0%,#DIV/0!,0%,#DIV/0!
"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",0%,0%,0%,#DIV/0!
"Warren & Washington Counties PUMA, New York",0%,0%,0%,#DIV/0!
"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",0%,0%,0%,0%
"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",10.8686868686869%,0%,23.0505569837189%,0%
"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",0%,0%,0%,0%
"Jefferson & Lewis Counties PUMA, New York",49.3996569468268%,0%,96.969696969697%,0%
"Oswego County PUMA, New York",23.4042553191489%,0%,25.3846153846154%,#DIV/0!
"Onondaga County (Central)--Syracuse City PUMA, New York",12.9023229778897%,15.6756756756757%,16.3805436337625%,0%
"Onondaga County (North) PUMA, New York",0%,0%,0%,#DIV/0!
"Onondaga County (Central)--Syracuse City (Outer) PUMA, New York",0%,0%,0%,#DIV/0!
"Cayuga & Onondaga (South) Counties PUMA, New York",0%,0%,0%,#DIV/0!
"Wayne & Seneca Counties PUMA, New York",0%,0%,0%,0%
"Monroe County (East) PUMA, New York",0%,0%,0%,0%
"Monroe County (Central)--Rochester City (East) PUMA, New York",4.71475719000472%,24.9376558603491%,0%,0%
"Monroe County (Central)--Rochester City (West) PUMA, New York",2.77044854881266%,0%,0%,50.8064516129032%
"Monroe County (Central)--Greece & Gates Towns PUMA, New York",0%,0%,0%,#DIV/0!
"Monroe County (North & West) PUMA, New York",0%,0%,0%,#DIV/0!
"Monroe County (South) PUMA, New York",0%,0%,0%,0%
"Genesee & Orleans Counties PUMA, New York",0%,0%,0%,0%
"Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA, New York",17.7007299270073%,0%,18.5567010309278%,17.9916317991632%
"Niagara County (North & East) PUMA, New York",20.817843866171%,#DIV/0!,38.8888888888889%,0%
"Erie County (Northwest) PUMA, New York",0%,0%,0%,#DIV/0!
"Erie County (North Central) PUMA, New York",0%,0%,0%,0%
"Erie County (Northeast) PUMA, New York",0%,0%,0%,#DIV/0!
"Erie County (Central) PUMA, New York",17.1052631578947%,36.5461847389558%,0%,0%
"Erie County (West Central)--Buffalo City (East) PUMA, New York",40.4591104734577%,0%,73.8219895287958%,0%
"Erie County (West Central)--Buffalo City (West) PUMA, New York",1.3136288998358%,0%,3.1104199066874%,0%
"Erie County (South) PUMA, New York",0%,0%,0%,#DIV/0!
"Livingston & Wyoming Counties PUMA, New York",0%,#DIV/0!,0%,#DIV/0!
"Ontario & Yates Counties PUMA, New York",0%,0%,0%,#DIV/0!
"Madison & Cortland Counties PUMA, New York",0%,#DIV/0!,0%,#DIV/0!
"Fulton & Montgomery Counties PUMA, New York",0%,0%,0%,#DIV/0!
"Schenectady County--Schenectady City PUMA, New York",0%,0%,0%,0%
"Saratoga County (South & Central) PUMA, New York",8.69853917662683%,11.5724381625442%,0%,#DIV/0!
"Saratoga County (Outer) PUMA, New York",30.3719008264463%,50.9803921568627%,7.4235807860262%,#DIV/0!
"Rensselaer County--Troy City PUMA, New York",9.55932203389831%,16.3194444444444%,0%,0%
"Albany County (East Central)--Albany City PUMA, New York",0%,0%,0%,0%
"Albany County (Outside Albany City) PUMA, New York",20.1675257731959%,14.4505494505494%,40.6496062992126%,#DIV/0!
"Columbia & Greene Counties PUMA, New York",0%,0%,0%,#DIV/0!
"Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA, New York",6.61157024793388%,0%,23.3009708737864%,#DIV/0!
"Broome (Outer West) & Tioga Counties PUMA, New York",0%,0%,#DIV/0!,#DIV/0!
"Chenango, Delaware & Broome (East) Counties PUMA; New York",0%,0%,0%,#DIV/0!
"Tompkins County PUMA, New York",0%,0%,0%,#DIV/0!
"Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA, New York",0%,0%,0%,#DIV/0!
"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA; New York",0%,#DIV/0!,0%,#DIV/0!
"Cattaraugus & Allegany Counties PUMA, New York",6.23441396508728%,0%,32.4675324675325%,#DIV/0!
"Chautauqua County PUMA, New York",0%,0%,#DIV/0!,0%
"Sullivan & Ulster (West) Counties PUMA, New York",0%,0%,0%,0%
