,,Unemployment %,,,,Full Time Work Access,,,,Poverty,,,,Working Poor,,,,Income,,,
Total GEOG-101,Overall,Overall,BABS,HS,HSINC,Overall,BABS,HS,HSINC,Overall,BABS,HS,HSINC,Overall,BABS,HS,HSINC,Overall,BABS,HS,HSINC
"Albany County (East Central)--Albany City PUMA, New York",Capital Region,4.858213597536%,2.49921572728223%,5.11196875505535%,14.5785876993166%,79.1961751083221%,82.7906253240693%,77.5533821961016%,80.055944055944%,15.0786605513636%,9.21304286980454%,14.3053952414641%,43.1593083766997%,5.0761325424113%,1.40915638504415%,6.05377885712614%,14.0860215053763%,62174.5,77000.1,54893.9,66404.9
"Albany County (Outside Albany City) PUMA, New York",Capital Region,5.67441860465116%,2.73432277042385%,8.18624317813068%,0%,86.0602289022971%,87.1840442338073%,86.5847713756459%,63.8467677573823%,24.3276464978277%,7.78493587813836%,27.6180436916143%,84.4371941272431%,6.02383123211872%,2.09135522838807%,6.54205607476635%,59.625%,55970.5,71899.2,45429.5,26286.8
"Broome (Outer West) & Tioga Counties PUMA, New York",Southern Tier,4.94592127465354%,1.07102164830991%,5.37430749562006%,27.4236743438672%,78.4406252513607%,77.2404391188921%,79.8840793044758%,69.4016039481802%,29.1343027896202%,12.9142508391822%,30.7368559497583%,76.6134325092978%,10.949558985667%,3.71214278932878%,12.5590233790165%,53.8666666666667%,50668.3,65635.4,43349.5,20425.6
"Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA, New York",Southern Tier,3.34871584237358%,1.59140143309448%,3.45587969489932%,13.8631090487239%,80.0936602814515%,84.6459244854967%,77.5372219302855%,90.5413814561294%,20.9418628881017%,10.2597216243363%,21.3645995197062%,59.693287037037%,9.64703111660632%,4.8626399923423%,10.2007522544977%,35.6013745704467%,56678,80956.8,46931.3,30618.6
"Cattaraugus & Allegany Counties PUMA, New York",Western NY,5.52039723493331%,2.25428313796213%,6.10480640854473%,10.6127886323268%,83.9152149496977%,90.2671544174704%,82.0320188963979%,83.9590443686007%,24.2293773777489%,3.80705600956747%,26.4156234862198%,49.9783923941227%,11.5868657399462%,1.14208522657497%,13.7261197624017%,28.2711508145034%,45978.3,63773.2,40295.4,44554.2
"Cayuga & Onondaga (South) Counties PUMA, New York",Central NY,3.31864143116412%,2.13329565923781%,4.07207006191778%,7.9885877318117%,83.4979766722209%,87.1492128678987%,80.0487885100318%,96.1640211640212%,11.0135724856749%,4.69904473366927%,13.2214108601197%,49.9818247909851%,3.72425853884864%,0.883565678382093%,5.49929628231094%,18.0305131761442%,63616.5,83302.3,48253,27435.4
"Chautauqua County PUMA, New York",Western NY,8.49109979544762%,8.07425430296477%,8.20552147239264%,12.2999157540017%,82.0541784778022%,83.9807555238774%,81.4287490673962%,81.6274454210377%,21.4969481762694%,10.4861111111111%,22.3282168985798%,38.5612648221344%,9.08595028442297%,2.86441756842775%,9.61670611590441%,24.6266064605766%,44350.9,62578.7,39156.3,31934.1
"Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA, New York",Southern Tier,3.84528020248564%,2.41616456697706%,5.2790903721205%,8.66983372921615%,76.3723754110802%,79.2817842986452%,72.5125009058627%,80.8026030368763%,16.3157471233538%,8.98268398268398%,20.2932551319648%,54.9343981745579%,6.01192447830407%,4.26833818371763%,5.38676793923646%,45.7718120805369%,62408.9,79709,41941,26117
"Chenango, Delaware & Broome (East) Counties PUMA; New York",Southern Tier,4.11249486793486%,0.981878564724569%,5.25251065674446%,9.22477262884366%,84.8614655486693%,87.3514674302076%,83.8101100811124%,82.3631624674196%,19.7404198238045%,5.64683053040103%,23.5153189210519%,39.6025550035486%,9.34110192245731%,2.4174383348357%,12.750054007345%,12.289029535865%,59321.5,93147,43464.7,35182.8
"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",North Country,7.29949956768937%,5.57753909930281%,6.50319406419871%,23.6170212765957%,77.7363702699885%,82.0349761526232%,77.814465408805%,56.3197856185797%,28.0637132901941%,11.3829093281148%,29.9683210137276%,57.4335548172758%,16.7244221646536%,8.61833105335157%,18.9432208526975%,40.2597402597403%,45178.7,62598.3,38581.7,27566.9
"Columbia & Greene Counties PUMA, New York",Capital Region,3.63465837551713%,2.13023695562253%,4.72280224292049%,6.95970695970696%,86.152228008517%,87.0583437709359%,85.5692736243243%,81.1023622047244%,9.53648861598652%,4.09157852456822%,11.4463713772362%,39.9884593190998%,3.27859062406689%,1.80674518201285%,4.59209139814764%,0%,69085.3,95644.7,48107.2,36663.1
