,,Unemployment %,,,Full Time Work Access,,,Poverty,,,Working Poor,,,,Income,,
Total GEOG-101,Overall,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,HSINC,Overall,BABS,HS
"Albany County (East Central)--Albany City PUMA, New York",Capital Region,4.72467709041468%,0%,3.68048533872599%,63.6757624398074%,84.1184387617766%,59.6425211665099%,33.4859621641162%,23.9355581127733%,30.5889333926717%,,,,,38710.8444668515,62454.912,34816.5930599369
"Albany County (Outside Albany City) PUMA, New York",Capital Region,7.17241379310345%,0%,10.3814227172428%,82.311858608894%,91.6395864106352%,81.5531000613874%,34.5350351654077%,14.6418338108883%,32.8038182077219%,,,,,43411.6658008658,62871.9664732431,37479.8519633672
"Broome (Outer West) & Tioga Counties PUMA, New York",Southern Tier,20.0356415478615%,8.31024930747923%,21.1413748378729%,64.4625850340136%,90.7351460221551%,56.1301827909051%,70.6850092185506%,34.9775784753363%,75.2872095991831%,,,,,45393.1616715914,68918.9789123196,31572.5178713264
"Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA, New York",Southern Tier,4.519368723099%,0%,6.46817248459959%,85.7243816254417%,93.1481481481482%,81.5577889447236%,23.0209545983702%,0%,28.9649744195199%,,,,,44074.2580379225,89447.3161033797,33869.7781885397
"Cattaraugus & Allegany Counties PUMA, New York",Western NY,11.2371134020619%,0%,17.9276315789474%,57.156220767072%,38.2352941176471%,62.0034542314335%,22.2900763358779%,10.5882352941177%,2.95420974889217%,,,,,47809.0834697218,93546.1538461538,39744.7075208914
"Cayuga & Onondaga (South) Counties PUMA, New York",Central NY,7.09010339734121%,0%,16.7664670658683%,97.3656256639048%,97.0749542961609%,97.7551020408163%,14.7677725118483%,0%,30.735056542811%,,,,,51408.4878900284,62412.0903954802,36473.382045929
"Chautauqua County PUMA, New York",Western NY,6.27358490566038%,0%,5.40752351097179%,84.6263683960019%,81.9595645412131%,94.431185361973%,34.1648247552889%,9.27573062261754%,29.7481636935992%,,,,,35816.6310461192,47907.0208728653,31641.2552653749
"Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA, New York",Southern Tier,0%,0%,0%,57.7132486388385%,56.578947368421%,58.5139318885449%,20.4795852235904%,36.4161849710983%,12.8805620608899%,,,,,45371.0691823899,73046.511627907,26481.4814814815
"Chenango, Delaware & Broome (East) Counties PUMA; New York",Southern Tier,0%,0%,0%,90.1225114854518%,33.160621761658%,100%,19.0774487471526%,0%,8.56291883842144%,,,,,70439.9320305862,100000,68740.1617250674
"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",North Country,14.6774193548387%,16.8181818181818%,0%,70.8766716196137%,100%,69.8780487804878%,28.015350877193%,6.97674418604651%,29.2929292929293%,,,,,39921.1215932914,76597.9545454545,31516.9284467714
"Columbia & Greene Counties PUMA, New York",Capital Region,0%,0%,0%,89.3819060773481%,94.7368421052632%,85.010975227344%,19.4685068271913%,5.46276965901183%,17.3237753882915%,,,,,43056.0830596871,53308.9213300892,33729.8199926227
"Dutchess County (North & East) PUMA, New York",Mid-Hudson,15.1284835323923%,6.6746126340882%,14.1319942611191%,71.3315217391304%,84.418901660281%,73.4943977591037%,43.4637801831807%,8.02658486707566%,44.1443653326786%,,,,,53442.8179591837,72757.9425113464,44719.5597903764
