,,Unemployment,,Poverty,,Working Poor,,FT Work Access,,Rent Burden,,Homeownership,,Income,
,,BABS,HS,BABS,HS,BABS,BABS,BABS,HS,BABS,HS,BABS,HS,BABS,HS
Total GEOG-101,Overall,1.40097819374105,1.06701837238797,2.43942521082506,1.67661987980607,3.43506423474483,2.65789891938568,1.0195415113806,1.00611986528483,1.59946865035659,1.174041500548,1.66895213394835,1.42919012450874,0.738841944071796,0.735662944993178
"Albany County (East Central)--Albany City PUMA, New York",Capital Region,0,0,8.02661466100723,4.50150350818577,0,26.3908355795148,0.5595045834385,1.09692574813604,0,0,1.26213129272878,0,0.717377360991621,0.277448628652351
"Albany County (Outside Albany City) PUMA, New York",Capital Region,6.31495023700294,7.9711999953061,0.498328963536841,1.69756677451994,0,8.6749902458057,1.03698876730664,0.531128740404006,0,0.887664764171113,2.76972488159823,0.990289400294025,0.907423137008693,0.770347222709135
"Broome (Outer West) & Tioga Counties PUMA, New York",Southern Tier,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,1.13493697998188,#DIV/0!,#DIV/0!,#DIV/0!,8.53385562395076,#DIV/0!,0.645466857263757,#DIV/0!
"Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA, New York",Southern Tier,0,6.78325167573417,3.14951515976243,1.83917086559338,6.7707182320442,2.88928155339806,1.13055087653628,0.946874108513242,6.20102337261165,1.43098580965572,1.49565732442594,0.517461335147724,1.46028035786714,0.484895934991443
"Cattaraugus & Allegany Counties PUMA, New York",Western NY,0,3.9002614032626,0,0.472814918779351,0,11.0846631205674,1.18901000112372,0.190168291339963,#DIV/0!,#DIV/0!,6.30072463768116,4.01550855991944,4.97942591141021,0.161972009212158
"Cayuga & Onondaga (South) Counties PUMA, New York",Central NY,0,0,0,0,0,0,1.15354597896166,0.278325930366363,#DIV/0!,#DIV/0!,8.70978627671541,3.66672955142518,1.32459160348717,1.30880059332294
"Chautauqua County PUMA, New York",Western NY,0,#DIV/0!,11.060553633218,#DIV/0!,27.828488372093,#DIV/0!,1.140499321007,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.192292900546112,#DIV/0!
"Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA, New York",Southern Tier,0,0,0.326435110031769,0,0.645727647431833,#DIV/0!,1.00391486123631,0,0,#DIV/0!,4.61092582252384,2.76468394555286,2.57616338195378,#DIV/0!
"Chenango, Delaware & Broome (East) Counties PUMA; New York",Southern Tier,0,0,0.195795106050802,3.1222879866353,0,20.1878589007383,1.17065368567455,0.68117125482612,0,#DIV/0!,0.130868757987124,5.12690639429131,1.16335393739633,0.283803343203383
"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",North Country,0,0,2.4664934917349,0,24.2546935152597,0,0.661927615483441,1.15544574840436,#DIV/0!,0,6.21116005873715,0,0.704186584961246,0.493512368653739
"Columbia & Greene Counties PUMA, New York",Capital Region,0,0,0,0,0,0,0.906721116513344,0.618911439608661,#DIV/0!,0,6.09831588529813,3.52613651051923,1.78821343817563,0.437820155989067
"Dutchess County (North & East) PUMA, New York",Mid-Hudson,0,2.3244767311442,2.45164983967152,3.89993548237676,0,3.92587098999655,0.899287320520699,1.056949799434,0,0,6.11715408627491,2.0799177147936,0.820083299613129,0.62444649837836
"Dutchess County (Southwest) PUMA, New York",Mid-Hudson,0,0.158820047970595,1.41123660709181,3.2672255800233,0,3.33063789240555,0.994822230768863,0.721747794287983,0,1.07551600756238,4.50244008344425,1.83862249183581,1.29634240146438,0.741556069723403
"Erie County (Central) PUMA, New York",Western NY,19.4483275568026,0,7.70286562109172,0.920329254262894,27.5219304183024,0,0.95198310406111,1.07154877324456,7.31559220389805,#DIV/0!,2.50894061683628,4.12198534858836,0.778406193255375,1.01712067674642
"Erie County (North Central) PUMA, New York",Western NY,0,0,8.1763249647862,5.84664273367903,0,0,1.062691374267,1.39086904285142,1.26459738852649,2.61930894308943,3.31531234732492,0,1.51463088947049,0.433309004838166
"Erie County (Northeast) PUMA, New York",Western NY,0,0,0,0,0,#DIV/0!,1.1547338671691,0,#DIV/0!,#DIV/0!,14.4903397734843,5.77628596338274,0.874377976043538,#DIV/0!
"Erie County (Northwest) PUMA, New York",Western NY,0,0,3.84132483497869,6.25246119195892,0,9.40200571402026,0.730718632387978,1.30289100010216,14.5876130143305,0,0,0,1.35182766598983,0.321169726990772
"Erie County (South) PUMA, New York",Western NY,0,0,0,5.84542454912825,0,15.6345005776465,1.21791148294248,1.1904663151034,#DIV/0!,0,0,1.69396111382832,0.341760479937289,0.493880442308828
"Erie County (West Central)--Buffalo City (East) PUMA, New York",Western NY,0,16.6012009627553,6.46502736175115,2.7486332475196,0,0,0.393987528516266,0.631581312611179,#DIV/0!,0,0.723810895325873,1.8819644067985,0.486516541562413,0.739524633565544
"Erie County (West Central)--Buffalo City (West) PUMA, New York",Western NY,0,5.556943630013,3.45270240937703,2.87859884369516,3.81132050074034,6.59324898589917,0.660224418799013,0.883633868629224,2.52222316408126,0.298949407207419,0.284696725574533,0.13988323923429,0.703485522759348,0.495210868749207
"Fulton & Montgomery Counties PUMA, New York",Mohawk Valley,0,0,0,0,0,0,0.964157115083002,1.25055611729019,#DIV/0!,#DIV/0!,5.48019151203177,3.84224872231686,0.734463568589582,1.02515736165501
