,,FT Work Access,,,Poverty,,,Unemployment,,,Working Poor,,,Income,,,Rent Burden,,,Homeownership,,
,,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS
"Albany County (East Central)--Albany City PUMA, New York",Capital Region,58.1521739130435%,42.9740791268759%,100%,45.4801266268027%,41.3243408951564%,55.1903114186851%,0%,0%,0%,14.1522029372497%,0%,29.041095890411%,73041.9225634179,54171.4285714286,99921.6438356164,14.1911069063387%,13.0378096479791%,47.1698113207547%,47.1698113207547%,44.5269016697588%,44.8096885813149%
"Albany County (Outside Albany City) PUMA, New York",Capital Region,81.0596937897815%,89.0772128060264%,55.733148019458%,9.11242603550296%,1.53846153846154%,15.0321199143469%,17.159383033419%,14.0588109036274%,28.7004864489229%,6.23938879456706%,0%,20.9476309226933%,81721.3073005093,91513.1871035941,42861.4713216958,3.33701047986762%,0%,11.1726685133887%,52.3208415516108%,49.1908091908092%,53.6188436830835%
"Columbia & Greene Counties PUMA, New York",Capital Region,65.7657657657658%,80.3108808290155%,51.4066496163683%,11.3177041228779%,0%,18.8172043010753%,0%,0%,0%,5.28375733855186%,0%,13.4328358208955%,150097.847358121,235458.064516129,18447.7611940299,15.2542372881356%,#DIV/0!,15.2542372881356%,85.6911883589329%,100%,76.2096774193549%
"Rensselaer County--Troy City PUMA, New York",Capital Region,79.5365107127241%,61.8581907090465%,100%,41.8812589413448%,47.9478827361564%,9.3628088426528%,6.38586956521739%,12.2822299651568%,0%,34.7993402968664%,35.5731225296443%,0%,50030.775151182,50764.0316205534,72546.6284074606,18.0579216354344%,18.0579216354344%,#DIV/0!,55.5433186490455%,21.1074918566775%,100%
"Saratoga County (Outer) PUMA, New York",Capital Region,73.6990154711674%,70.6703910614525%,76.7705382436261%,25.3443526170799%,25.9168704156479%,25%,32.1799307958477%,34.0314136125655%,30.7216494845361%,37.0229007633588%,41.897233201581%,32.4723247232472%,43762.5954198473,48547.0355731225,39295.9409594096,0%,0%,0%,69.0541781450872%,63.3251833740831%,72.5%
"Saratoga County (South & Central) PUMA, New York",Capital Region,69.3107932379714%,83.3581718827621%,42.7093132643462%,3.34605224537716%,3.32764505119454%,3.38664158043274%,4.44519850695623%,6.82291666666667%,0%,5.34709193245779%,4.64839094159714%,7.9295154185022%,72315.126641651,82643.5339690107,34140.9691629956,3.40264650283554%,0%,16.5137614678899%,68.9462870560611%,64.1638225255973%,79.4920037629351%
"Schenectady County--Schenectady City PUMA, New York",Capital Region,88.0722516350047%,88.0528052805281%,88.6497064579256%,26.2454773170053%,15.1414309484193%,20.5197132616487%,3.49317243569387%,0%,11.4583333333333%,20.5799151343706%,6.89655172413793%,14.9006622516556%,57592.0792079208,74109.1454272864,56230.6843267108,23.0125523012552%,29.8187808896211%,100%,66.7408850542722%,66.3338879645036%,91.5770609318997%
"Warren & Washington Counties PUMA, New York",Capital Region,78.7654320987654%,100%,52.8767123287671%,14.7401908801697%,0%,27.9116465863454%,0%,0%,0%,2.66457680250784%,0%,8.80829015544041%,33762.6959247649,34169.0288713911,37524.3523316062,0%,0%,0%,57.7753779697624%,23.8845144356955%,79.002079002079%
CAPITAL REGION,,77.4105602848718%,81.1527483657122%,68.28797190518%,20.2823969718879%,14.2930666862731%,18.7074392907619%,9.60235477063201%,9.65208656743677%,11.7853384777271%,14.1378566808021%,6.19469026548673%,14.8367189508871%,69647.3535542299,83697.5323349217,53858.4983286192,9.10704381586245%,7.73818866739915%,16.6836215666328%,59.5583487581249%,51.8804739824833%,71.6792305692748%
"Cayuga & Onondaga (South) Counties PUMA, New York",Central NY,51.2455516014235%,100%,23.0337078651685%,0%,0%,0%,0%,0%,0%,0%,0%,0%,86437.5,96961.1650485437,60000,#DIV/0!,#DIV/0!,#DIV/0!,88.4180790960452%,100%,81.447963800905%
"Madison & Cortland Counties PUMA, New York",Central NY,96.2732919254658%,94.2857142857143%,100%,6.81818181818182%,0%,13.953488372093%,0%,0%,0%,8.38709677419355%,0%,23.2142857142857%,139938.279569892,213173.400673401,10469.0476190476,0%,0%,0%,27.8955954323002%,40.6349206349206%,14.4295302013423%
"Onondaga County (Central)--Syracuse City (Outer) PUMA, New York",Central NY,78.7072243346008%,69.1365584813227%,100%,27.7558348294434%,36.7624020887729%,9.49105914718019%,7.77355302070131%,11.2676056338028%,0%,12.3456790123457%,14.2604074402126%,11.6751269035533%,47853.9130434783,47695.1638618246,51153.9763113367,86.7631851085833%,100%,0%,65.278276481149%,56.1879895561358%,82.3933975240715%
"Onondaga County (Central)--Syracuse City PUMA, New York",Central NY,80.0180831826402%,72.7434415295687%,90.1351351351351%,48.5730274202574%,32.2541233964569%,60.2486678507993%,12.7070619006103%,11.0318592486923%,13.7290167865707%,23.3333333333333%,0%,40.9295352323838%,39958.1807909605,62014.7677261614,20600.0749625187,24.4471998346766%,27.6411657559199%,12.9139072847682%,22.1740346950196%,19.5174098961515%,25.50621669627%
