,,FT Work Access,,,Poverty,,,Unemployment,,,Working Poor,,,Income,,,Rent Burden,,,Homeownership,,
,,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS
"Albany County (East Central)--Albany City PUMA, New York",Capital Region,48.9823609226594%,48.0651731160896%,100%,52.4719101123596%,47.8452066842568%,100%,0%,0%,0%,15.5124653739612%,0%,100%,40496.9529085873,53559.3220338983,17000,0%,0%,0%,44.6206115515289%,53.2502226179875%,0%
"Albany County (Outside Albany City) PUMA, New York",Capital Region,79.057714958775%,89.6252709817281%,45.4724409448819%,6.57575191481412%,1.98198198198198%,18.732970027248%,20.1675257731959%,14.4505494505494%,40.6496062992126%,5.00595947556615%,0%,36.3636363636364%,83046.4541120382,90244.9550794748,#DIV/0!,3.52769679300292%,0%,11.1726685133887%,35.923781057351%,39.5881595881596%,26.2261580381471%
"Columbia & Greene Counties PUMA, New York",Capital Region,61.2244897959184%,76.3975155279503%,47.8021978021978%,0%,0%,0%,0%,0%,0%,0%,0%,0%,93042.8571428572,144000,#DIV/0!,0%,#DIV/0!,0%,85.4791868344627%,100%,75.1655629139073%
"Rensselaer County--Troy City PUMA, New York",Capital Region,76.4478764478765%,61.1876988335101%,100%,43.1015452538631%,38.9925373134328%,0%,9.55932203389831%,16.3194444444444%,0%,45.8754208754209%,31.5424610051993%,0%,33639.0404040404,43679.5493934142,5264.68319559229,15.5555555555556%,12.8502415458937%,#DIV/0!,40.8388520971302%,0%,100%
"Saratoga County (Outer) PUMA, New York",Capital Region,59.3478260869565%,54.5454545454546%,64.1921397379913%,39.0934844192635%,37.5886524822695%,40.0943396226415%,30.3719008264463%,50.9803921568627%,7.4235807860262%,71.0622710622711%,84.1269841269842%,59.8639455782313%,23141.3919413919,14828.5714285714,24698.3050847458,0%,0%,0%,52.2662889518414%,46.8085106382979%,55.8962264150943%
"Saratoga County (South & Central) PUMA, New York",Capital Region,67.7675840978593%,72.6530612244898%,53.1707317073171%,1.97260273972603%,0%,8.78048780487805%,8.69853917662683%,11.5724381625442%,0%,3.24909747292419%,0%,16.5137614678899%,89619.9909747292,100081.966292135,55000,5.23255813953488%,0%,16.5137614678899%,62.3013698630137%,66.7844522968198%,46.8292682926829%
"Schenectady County--Schenectady City PUMA, New York",Capital Region,83.5828343313373%,79.7765363128492%,85.7471264367816%,38.4372177055104%,17.9030662710188%,43.289224952741%,0%,0%,0%,29.2537313432836%,0%,36.1930294906166%,47227.3432835821,79668.0672268908,22217.3469387755,28.118609406953%,46.4102564102564%,100%,55.8265582655827%,61.4243323442137%,82.2306238185255%
"Warren & Washington Counties PUMA, New York",Capital Region,54.5454545454546%,100%,15.8878504672897%,8.58585858585859%,0%,15.8878504672897%,0%,0%,0%,15.7407407407407%,0%,100%,33401.8518518519,37400,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,100%,100%,100%
CAPITAL REGION,,73.6956333015019%,77.7433687895516%,59.1623036649215%,21.7612760538838%,14.2244153615104%,24.5380635624538%,11.6227319411161%,12.0676202860858%,15.5402963498374%,17.7406054894569%,4.98787668860409%,29.4985250737463%,66049.5028860879,84112.1839279529,21899.3497224425,8.03196532574834%,6.38600772828961%,14.0380313199105%,48.7374076561451%,46.7769660507091%,50.4948045522019%
