,,FT Work Access,,,Poverty,,,Unemployment,,,Working Poor,,,Income,,
,,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS
"Albany County (East Central)--Albany City PUMA, New York",Capital Region,86.0602289022971%,87.1840442338073%,86.5847713756459%,24.3276464978277%,7.78493587813836%,27.6180436916143%,5.67441860465116%,2.73432277042385%,8.18624317813068%,6.02383123211872%,2.09135522838807%,6.54205607476635%,55970.4815921024,71899.1814269536,45429.5152572909
"Albany County (Outside Albany City) PUMA, New York",Capital Region,86.152228008517%,87.0583437709359%,85.5692736243243%,9.53648861598652%,4.09157852456822%,11.4463713772362%,3.63465837551713%,2.13023695562253%,4.72280224292049%,3.27859062406689%,1.80674518201285%,4.59209139814764%,69085.2896257035,95644.7122925589,48107.2170050761
"Columbia & Greene Counties PUMA, New York",Capital Region,80.0936602814515%,84.6459244854967%,77.5372219302855%,20.9418628881017%,10.2597216243363%,21.3645995197062%,3.34871584237358%,1.59140143309448%,3.45587969489932%,9.64703111660632%,4.8626399923423%,10.2007522544977%,56678.0327897752,80956.8254044223,46931.3193421588
"Rensselaer County--Troy City PUMA, New York",Capital Region,79.1961751083221%,82.7906253240693%,77.5533821961016%,15.0786605513636%,9.21304286980454%,14.3053952414641%,4.858213597536%,2.49921572728223%,5.11196875505535%,5.0761325424113%,1.40915638504415%,6.05377885712614%,62174.4623627514,77000.059497714,54893.9023904965
"Saratoga County (Outer) PUMA, New York",Capital Region,83.4620401233929%,87.3566497404005%,81.4217749940103%,13.3609314359638%,4.42110655737705%,15.3755868544601%,5.04691646987524%,1.70247263883259%,5.41923358045317%,4.93571339408314%,2.33165697864281%,6.45106455314266%,60213.8041822737,79652.0071843773,46037.0425827063
"Saratoga County (South & Central) PUMA, New York",Capital Region,84.5971760797342%,87.4675551078914%,80.6521739130435%,9.1426437374402%,6.15880982254884%,10.3571561580574%,2.77308439638422%,1.48008187686978%,4.41626997219211%,3.02636100338717%,2.53786872176455%,3.78505476859552%,70020.8404840214,79507.3461334042,59408.0186958766
"Schenectady County--Schenectady City PUMA, New York",Capital Region,85.5461795912554%,90.6123481781376%,82.8706916493176%,18.6329588014981%,6.27524210709167%,21.972701281933%,5.82916401346311%,3.72793670115642%,6.33554479708326%,6.53455856306391%,2.43507400167551%,7.44807329183859%,54850.8462739059,75037.1471655962,43496.4164689463
"Warren & Washington Counties PUMA, New York",Capital Region,77.1971077538064%,82.6383565843937%,75.8213062278879%,18.4528716680407%,6.60338137472284%,18.6707109172626%,6.80136822846233%,3.32231023609936%,7.51712328767123%,8.01757415684681%,4.62851312494203%,9.13167549938851%,54407.6901208245,89347.083758464,41887.458800874
CAPITAL REGION,,82.8291796238882%,86.5382047972943%,80.7756779092794%,15.6087123184219%,6.4321509962515%,17.2310825847253%,4.70068462322034%,2.34091318791687%,5.58518859026892%,5.53307296229518%,2.50877888952557%,6.73226307612636%,61222.4860684084,82335.0339915664,48136.5018845707
"Cayuga & Onondaga (South) Counties PUMA, New York",Central NY,81.9997513777815%,85.3256783541795%,82.2335352493878%,17.8889872039205%,8.09871810231221%,20.0630749014455%,4.44342264766125%,2.06574080535976%,4.54882491376253%,8.12067310121785%,4.70201858378725%,9.3762244338218%,54395.5195310526,72567.2244472925,45794.0495258992
"Madison & Cortland Counties PUMA, New York",Central NY,83.1821593223973%,86.5941545442413%,81.9655009770231%,18.4145877305284%,6.46482635796972%,21.2121212121212%,5.10014227864726%,2.82252605929335%,5.62186472928559%,6.72197239882152%,2.6123140941666%,7.73389459782923%,50178.3070478449,70346.2603066965,40696.5665255457
"Onondaga County (Central)--Syracuse City (Outer) PUMA, New York",Central NY,83.4979766722209%,87.1492128678987%,80.0487885100318%,11.0135724856749%,4.69904473366927%,13.2214108601197%,3.31864143116412%,2.13329565923781%,4.07207006191778%,3.72425853884864%,0.883565678382093%,5.49929628231094%,63616.50940774,83302.2819556254,48253.0170861154
"Onondaga County (Central)--Syracuse City PUMA, New York",Central NY,70.698608137045%,81.6164817749604%,65.9256906954589%,41.7442656941333%,15.8340902210112%,45.4486143904561%,7.19739441507822%,3.13034553540883%,7.95104261106074%,13.2128590450827%,3.29294812053433%,17.8364987613543%,44691.5862643395,58409.7878385284,37366.3153041563
"Onondaga County (North) PUMA, New York",Central NY,83.7606535970779%,88.5530091591651%,79.9749851885985%,9.75522654564393%,4.46608818841863%,13.1091893639376%,4.77841181803637%,4.42930824048191%,5.19372632418422%,3.77306817224235%,1.27402672348737%,6.1898098608939%,60560.1396730429,74217.4586052293,48500.5115647378
"Oswego County PUMA, New York",Central NY,81.8423587552875%,85.4654554546212%,82.2710895763449%,20.2105604146421%,7.91248206599713%,20.1401555150235%,7.26316016475815%,1.92374350086655%,9.23602111451781%,6.88593565601108%,0.273037542662116%,8.22878368646477%,48622.8244505284,67809.2208678693,41773.4765931743
CENTRAL NY,,81.4269073582932%,86.356498928545%,79.4035958047112%,18.871916511045%,6.94053911422988%,21.3851941948619%,5.14202057610418%,2.8572236838383%,5.97820336472331%,6.41593905465085%,1.91078027097949%,8.42210455457088%,55060.774592052,73576.9018429187,44302.0241525482
"Genesee & Orleans Counties PUMA, New York",Finger Lakes,80.3608406921667%,82.2650602409639%,81.2485767266339%,19.4759894563688%,2.90570805099345%,21.72882890078%,6.04887199961518%,3.22173089071383%,5.02024022828323%,8.72578638706238%,1.44991212653779%,10.7987987987988%,47415.9288549257,66394.3049209139,42806.9721721722
"Livingston & Wyoming Counties PUMA, New York",Finger Lakes,85.232410464821%,86.7720465890183%,86.755497305956%,17.9508546574257%,2.45936698032506%,15.1131039636688%,3.73001776198934%,0.501835985312118%,5.001672178663%,9.56172913423542%,1.15052732502397%,6.80800743306022%,46512.6982655859,66401.0094507602,43009.7527066723
"Monroe County (Central)--Greece & Gates Towns PUMA, New York",Finger Lakes,81.0051636448344%,83.1736206178204%,79.6425417897269%,11.5047855081443%,5.71475178076233%,12.1329325975562%,3.05140038192234%,0%,2.96124031007752%,5.39912291212346%,2.37584084728782%,4.44240547463394%,50432.8409499389,61241.6545012165,45636.5003631915
"Monroe County (Central)--Rochester City (East) PUMA, New York",Finger Lakes,81.721395267659%,88.6794601674164%,78.5515173828433%,35.1454726728904%,13.1239759694156%,39.6151669496322%,9.66933743457446%,1.02423628892991%,12.9542188462328%,16.5812122321919%,8.68811404353689%,21.5611390284757%,41233.9506346107,52681.8638669492,31903.932373619
"Monroe County (Central)--Rochester City (West) PUMA, New York",Finger Lakes,78.3896231032795%,81.1547947192804%,79.1012838801712%,42.5646551724138%,15.3177343050761%,42.8837081166707%,11.4455793817222%,7.75563258232236%,10.6328606503984%,14.5750090810025%,2.52055774043618%,18.4744530372133%,38590.9923732215,63152.391848409,30814.4763622311
"Monroe County (East) PUMA, New York",Finger Lakes,83.8734554377355%,86.2043600374482%,81.3559965094662%,5.75373993095512%,2.71560543121086%,8.03984236820058%,3.72843529703496%,1.53595768487438%,6.29117635858182%,1.77623605132277%,0.7330695834303%,2.55094902765471%,64734.7521210348,77051.2690249011,50866.7262043557
