,,FT Work Access,,,Poverty,,,Unemployment,,,Working Poor,,,Income,,,Rent Burden,,,Homeownership,,
,,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS
"Albany County (East Central)--Albany City PUMA, New York",Capital Region,88.3543420421337%,85.9066655373931%,91.1638733705773%,17.3276170060736%,5.96082018446528%,22.214799970311%,4.76838638858397%,3.534087963363%,6.25577527259287%,2.59169669743792%,1.51828847481021%,3.78919415790011%,63131.1827022758,74659.9445923297,51901.4554182412,8.92289177340325%,1.7163504968383%,15.1816312542838%,55.4345442584606%,57.8092842442259%,52.0354387840831%
"Albany County (Outside Albany City) PUMA, New York",Capital Region,85.8930303450187%,86.4283913262733%,85.614724803431%,8.74254729824891%,3.97725624437933%,11.0351889000334%,3.91032109140669%,2.28830773136981%,5.09955920352637%,3.13577010824717%,1.96922179272117%,4.19177835747054%,71259.1140524932,99451.8766319014,49269.4295852342,13.6909121640656%,6.75335570469799%,12.5865855718871%,77.9630001298655%,85.7068260276754%,73.5166729742231%
"Columbia & Greene Counties PUMA, New York",Capital Region,79.6919120613151%,84.2569056092188%,77.2359254377707%,20.7971146637489%,10.6732348111658%,20.7767699519084%,3.26416414082537%,1.66637585063689%,3.22768811977445%,10.0667531399285%,5.10860820595334%,10.5119453924915%,57645.3761903256,80527.3486524538,47964.906923452,25.7827274637529%,20.4913121629718%,23.3872186130835%,78.7773886128533%,83.6020301537543%,78.6833088595203%
"Rensselaer County--Troy City PUMA, New York",Capital Region,80.7891268533773%,82.7374211292671%,80.0098054394385%,12.9805381202873%,8.59101516919487%,11.9685776935686%,4.87130362349021%,2.60022847195779%,5.29666544904243%,4.31085462590999%,1.46656237778647%,5.0020963008353%,64072.5469932095,77592.5974449224,56946.505692263,14.0627679643286%,8.23159452460229%,16.2790697674419%,72.0470262793914%,72.833438762104%,73.533515056556%
"Saratoga County (Outer) PUMA, New York",Capital Region,83.6793404753215%,87.5278664818943%,81.6031445216537%,12.3667950210441%,4.65706114079111%,13.9387166970535%,4.89129259058951%,1.78398058252427%,5.01734434788828%,4.28213538572794%,2.45749294417292%,5.21440375750196%,60717.2896323473,80837.7085427136,46448.7530535008,14.9078365851029%,14.9051490514905%,13.7179487179487%,82.9417386443551%,89.6490087747806%,79.0504853795993%
"Saratoga County (South & Central) PUMA, New York",Capital Region,83.8064038414073%,86.6841819925768%,79.8052795342768%,8.96602968354069%,6.11308238198087%,9.92566681241802%,1.57239172665981%,1.59524819686042%,1.5981150437945%,2.9665327978581%,2.75666313865102%,3.36435668469375%,70865.3194912985,79330.0231405754,61708.6669601308,9.02885720078394%,11.2567683100598%,7.49896992171405%,70.8762738762165%,72.9254272597508%,69.2135817739297%
"Schenectady County--Schenectady City PUMA, New York",Capital Region,85.9828435845957%,91.2632821723731%,82.8998810130886%,14.1430490588026%,4.38381937911571%,18.4706780030521%,4.98940877917829%,2.21603624256318%,5.78904217017788%,4.74289628457378%,2.56380101140774%,6.09299839657937%,57335.6342366565,75749.3896271904,45291.9063358622,18.841642228739%,6.06741573033708%,25.3521126760563%,76.5828949931814%,82.0037629350894%,73.2415485278081%
"Warren & Washington Counties PUMA, New York",Capital Region,77.3316586986468%,82.2311132031066%,76.1105798487351%,16.7465643975711%,6.74308356329159%,17.7943089245373%,6.6301852762748%,3.40050377833753%,7.73977433004231%,7.49069560203386%,4.76054188132036%,8.24919032196609%,55010.0817310211,90223.1358519366,42287.3995811917,19.9477209606274%,16.739537788882%,20.8011386742578%,77.5875110646174%,87.5588529034099%,74.6795237986427%
CAPITAL REGION,,83.002579928468%,86.1592051399851%,81.1412124008525%,13.4268151721751%,5.99908306899286%,15.1457423852897%,4.38241877322785%,2.29651182977896%,5.14631009164478%,4.82071488530012%,2.61993442205456%,5.89660172819257%,63180.1153680182,83825.4150113011,49750.910467969,15.1031099680907%,8.80576283231579%,16.805825386703%,75.367019240282%,79.689205955335%,73.5485857280431%
