,Total RECODE2,,,,,,,,,BABS,,,,,,,,,HS,,,,,,,,,HSINC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,Part Time,,,Full Time,,,Total,,,Part Time,,,Full Time,,,Total,,,Part Time,,,Full Time,,,Total,,,Part Time,,,Full Time,,,,,,,,,,,,,,,,,,,,,,
null,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Total GEOG-101,1292283,700573,591710,211865,74138,137727,1080418,626435,453983,552019,278808,273211,69599,22943,46656,482420,255865,226555,583654,319615,264039,112814,38975,73839,470840,280640,190200,156610,102150,54460,29452,12220,17232,127158,89930,37228,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"St. Lawrence County PUMA, New York",1491,365,1126,157,157,0,1334,208,1126,953,160,793,0,0,0,953,160,793,490,157,333,157,157,0,333,0,333,48,48,0,0,0,0,48,48,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",1143,424,719,391,0,391,752,424,328,760,252,508,320,0,320,440,252,188,244,127,117,24,0,24,220,127,93,139,45,94,47,0,47,92,45,47,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Warren & Washington Counties PUMA, New York",810,374,436,172,27,145,638,347,291,381,208,173,0,0,0,381,208,173,365,102,263,172,27,145,193,75,118,64,64,0,0,0,0,64,64,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",403,280,123,56,56,0,347,224,123,170,170,0,0,0,0,170,170,0,177,54,123,0,0,0,177,54,123,56,56,0,56,56,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",5153,2895,2258,1620,889,731,3533,2006,1527,1580,792,788,541,204,337,1039,588,451,2752,1579,1173,994,600,394,1758,979,779,821,524,297,85,85,0,736,439,297,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",609,277,332,151,50,101,458,227,231,303,133,170,108,50,58,195,83,112,90,36,54,43,0,43,47,36,11,216,108,108,0,0,0,216,108,108,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Jefferson & Lewis Counties PUMA, New York",979,652,327,556,392,164,423,260,163,368,260,108,108,0,108,260,260,0,585,392,193,422,392,30,163,0,163,26,0,26,26,0,26,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Oswego County PUMA, New York",953,486,467,184,63,121,769,423,346,500,33,467,121,0,121,379,33,346,453,453,0,63,63,0,390,390,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
