,,NB,,,,,,,,,,,,FB,,,,,,,,,,,
,,BABS,,,,,,HS,,,,,,BABS,,,,,,HS,,,,,
,,Total,,,Unemployed,,,Total,,,Unemployed,,,Total,,,Unemployed,,,Total,,,Unemployed,,
,NYS Regions,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
Total GEOG-101,Overall,2591715,1235102,1356613,87526,44239,43287,2971795,1584443,1387352,210815,117758,93057,549091,277612,271479,25530,12146,13384,588641,322531,266110,36497,19010,17487
"Albany County (East Central)--Albany City PUMA, New York",Capital Region,14958,6440,8518,409,267,142,20339,10419,9920,1665,1056,609,733,412,321,0,0,0,365,50,315,0,0,0
"Albany County (Outside Albany City) PUMA, New York",Capital Region,33846,16590,17256,721,339,382,42623,21844,20779,2013,1126,887,4659,3419,1240,655,411,244,1439,537,902,413,0,413
"Broome (Outer West) & Tioga Counties PUMA, New York",Southern Tier,13851,7544,6307,136,0,136,27682,14105,13577,1454,542,912,167,167,0,0,0,0,295,192,103,0,0,0
"Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA, New York",Southern Tier,13165,6425,6740,141,51,90,21119,11662,9457,1135,761,374,1819,923,896,123,0,123,885,746,139,160,160,0
"Cattaraugus & Allegany Counties PUMA, New York",Western NY,11097,5127,5970,896,272,624,31296,16723,14573,2568,1567,1001,350,162,188,0,0,0,77,44,33,25,0,25
"Cayuga & Onondaga (South) Counties PUMA, New York",Central NY,14329,6388,7941,296,68,228,31019,15931,15088,1411,489,922,32,32,0,0,0,0,178,150,28,0,0,0
"Chautauqua County PUMA, New York",Western NY,11175,4782,6393,252,136,116,35646,19384,16262,3512,2021,1491,100,32,68,0,0,0,203,203,0,0,0,0
"Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA, New York",Southern Tier,11765,5032,6733,133,0,133,23788,13175,10613,557,190,367,1114,690,424,0,0,0,217,65,152,0,0,0
"Chenango, Delaware & Broome (East) Counties PUMA; New York",Southern Tier,8375,2852,5523,242,54,188,28602,15734,12868,1111,826,285,631,409,222,0,0,0,174,29,145,0,0,0
"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",North Country,19214,7788,11426,595,382,213,40710,22358,18352,2771,1101,1670,755,252,503,0,0,0,220,127,93,0,0,0
"Columbia & Greene Counties PUMA, New York",Capital Region,12002,5519,6483,191,0,191,27663,14179,13484,956,476,480,386,386,0,0,0,0,364,277,87,0,0,0
"Dutchess County (North & East) PUMA, New York",Mid-Hudson,19098,8915,10183,866,366,500,25499,14274,11225,1461,503,958,1008,297,711,0,0,0,2624,1297,1327,304,258,46
"Dutchess County (Southwest) PUMA, New York",Mid-Hudson,22373,10604,11769,314,314,0,31415,16814,14601,3033,1597,1436,3736,1923,1813,76,0,76,2485,1683,802,35,35,0
"Erie County (Central) PUMA, New York",Western NY,17493,7606,9887,292,292,0,44854,24298,20556,2511,1552,959,989,425,564,182,182,0,1513,935,578,0,0,0
"Erie County (North Central) PUMA, New York",Western NY,25341,11739,13602,881,508,373,14908,7422,7486,694,532,162,2855,1590,1265,118,118,0,346,138,208,0,0,0
"Erie County (Northeast) PUMA, New York",Western NY,19062,9555,9507,321,155,166,29540,15245,14295,1424,776,648,361,272,89,0,0,0,383,151,232,0,0,0
"Erie County (Northwest) PUMA, New York",Western NY,16922,8032,8890,243,150,93,25508,13333,12175,1101,586,515,541,313,228,171,171,0,1298,911,387,0,0,0
"Erie County (South) PUMA, New York",Western NY,28652,13516,15136,539,539,0,40585,22112,18473,2616,1520,1096,606,367,239,0,0,0,449,449,0,0,0,0
"Erie County (West Central)--Buffalo City (East) PUMA, New York",Western NY,7411,4168,3243,303,181,122,32714,15988,16726,2481,915,1566,286,53,233,0,0,0,751,703,48,282,282,0
"Erie County (West Central)--Buffalo City (West) PUMA, New York",Western NY,18069,9263,8806,195,75,120,17453,9504,7949,840,622,218,1604,994,610,75,75,0,1507,928,579,40,0,40
"Fulton & Montgomery Counties PUMA, New York",Mohawk Valley,8026,3486,4540,314,225,89,26914,14565,12349,1976,1126,850,302,136,166,0,0,0,221,47,174,0,0,0
