,,Total RECODE2,,,,,,,,,BABS,,,,,,,,,,,,HS,,,,,,,,,,,
,,Total,,,Part Time,,,Full Time,,,Total,,,Part Time,,,Full Time,,,,,,Total,,,Part Time,,,Full Time,,,,,
,,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,,Male,,Female,,Total,Male,Female,Total,Male,Female,Total,,Male,,Female,
Total GEOG-101,NYS Regions,1292283,700573,591710,211865,74138,137727,1080418,626435,453983,552019,278808,273211,69599,22943,46656,482420,0.873919194810324,255865,0.917710395684485,226555,0.829230887482568,583654,319615,264039,112814,38975,73839,470840,0.806710825249206,280640,0.878056411620231,190200,0.720348130389829
"Albany County (East Central)--Albany City PUMA, New York",Capital Region,1288,531,757,539,234,305,749,297,452,733,412,321,418,234,184,315,0.429740791268759,178,0.432038834951456,137,0.426791277258567,365,50,315,0,0,0,365,1,50,1,315,1
"Albany County (Outside Albany City) PUMA, New York",Capital Region,5813,3671,2142,1101,0,1101,4712,3671,1041,4248,3008,1240,464,0,464,3784,0.890772128060264,3008,1,776,0.625806451612903,1439,537,902,637,0,637,802,0.55733148019458,537,1,265,0.293791574279379
"Columbia & Greene Counties PUMA, New York",Capital Region,777,690,87,266,266,0,511,424,87,386,386,0,76,76,0,310,0.803108808290155,310,0.803108808290155,0,#DIV/0!,391,304,87,190,190,0,201,0.514066496163683,114,0.375,87,1
"Rensselaer County--Troy City PUMA, New York",Capital Region,2287,1553,734,468,130,338,1819,1423,396,1227,580,647,468,130,338,759,0.618581907090465,450,0.775862068965517,309,0.47758887171561,697,610,87,0,0,0,697,1,610,1,87,1
"Saratoga County (Outer) PUMA, New York",Capital Region,711,353,358,187,187,0,524,166,358,358,105,253,105,105,0,253,0.706703910614525,0,0,253,1,353,248,105,82,82,0,271,0.767705382436261,166,0.669354838709677,105,1
"Saratoga County (South & Central) PUMA, New York",Capital Region,3076,1155,1921,944,335,609,2132,820,1312,2013,862,1151,335,335,0,1678,0.83358171882762,527,0.611368909512761,1151,1,1063,293,770,609,0,609,454,0.427093132643462,293,1,161,0.209090909090909
"Schenectady County--Schenectady City PUMA, New York",Capital Region,3211,2184,1027,383,92,291,2828,2092,736,1515,988,527,181,92,89,1334,0.880528052805281,896,0.906882591093117,438,0.83111954459203,1022,608,414,116,0,116,906,0.886497064579256,608,1,298,0.719806763285024
"Warren & Washington Counties PUMA, New York",Capital Region,810,374,436,172,27,145,638,347,291,381,208,173,0,0,0,381,1,208,1,173,1,365,102,263,172,27,145,193,0.528767123287671,75,0.735294117647059,118,0.448669201520913
