,,NB,,,,,,,,,,FB,,,,,,,,,
,,BABS,,,,,HS,,,,,BABS,,,,,HS,,,,
,,Total,,Unemployed,,,Total,,Unemployed,,,Total,,Unemployed,,,Total,,Unemployed,,
,,Total,Female,Total,Female,,Total,Female,Total,Female,,Total,Female,Total,Female,,Total,Female,Total,Female,
Total GEOG-101,NYS Regions,2591715,1356613,87526,43287,3.19081418208435%,2971795,1387352,210815,93057,6.70752628028071%,549091,271479,25530,13384,4.9300314204782%,588641,266110,36497,17487,6.57134267783999%
"Albany County (East Central)--Albany City PUMA, New York",Capital Region,14958,8518,409,142,1.66705799483447%,20339,9920,1665,609,6.13911290322581%,733,321,0,0,0%,365,315,0,0,0%
"Albany County (Outside Albany City) PUMA, New York",Capital Region,33846,17256,721,382,2.21372276309689%,42623,20779,2013,887,4.26873285528659%,4659,1240,655,244,19.6774193548387%,1439,902,413,413,45.7871396895787%
"Columbia & Greene Counties PUMA, New York",Capital Region,12002,6483,191,191,2.94616689804103%,27663,13484,956,480,3.55977454761198%,386,0,0,0,#DIV/0!,364,87,0,0,0%
"Rensselaer County--Troy City PUMA, New York",Capital Region,19126,10572,478,312,2.95119182746879%,43271,20536,2212,1020,4.96688741721854%,1148,647,141,141,21.7928902627512%,697,87,0,0,0%
"Saratoga County (Outer) PUMA, New York",Capital Region,17269,8600,294,121,1.40697674418605%,28731,13777,1557,310,2.2501270232997%,382,277,130,130,46.9314079422383%,485,105,149,17,16.1904761904762%
"Saratoga County (South & Central) PUMA, New York",Capital Region,25404,13171,376,258,1.95884898640954%,21217,9136,937,315,3.44789842381786%,1920,1282,131,131,10.2184087363495%,1027,734,0,0,0%
"Schenectady County--Schenectady City PUMA, New York",Capital Region,19716,10961,735,700,6.38627862421312%,33462,17767,2120,861,4.84606292564868%,1515,527,0,0,0%,960,352,110,110,31.25%
"Warren & Washington Counties PUMA, New York",Capital Region,13003,7808,432,260,3.32991803278689%,35040,15516,2634,744,4.79505027068832%,208,0,0,0,#DIV/0!,365,263,0,0,0%
Capital Region,,155324,83369,3636,2366,2.83798534227351%,252346,120915,14094,5226,4.32204441136335%,10951,4294,1057,646,15.0442477876106%,5702,2845,672,540,18.9806678383128%
"Cayuga & Onondaga (South) Counties PUMA, New York",Central NY,14329,7941,296,228,2.87117491499811%,31019,15088,1411,922,6.11081654294804%,32,0,0,0,#DIV/0!,178,28,0,0,0%
"Madison & Cortland Counties PUMA, New York",Central NY,14774,7959,417,417,5.2393516773464%,28905,12900,1625,944,7.31782945736434%,315,124,0,0,0%,82,43,0,0,0%
"Onondaga County (Central)--Syracuse City (Outer) PUMA, New York",Central NY,28313,14019,604,0,0%,35854,17104,1460,999,5.84073900841908%,1633,704,184,111,15.7670454545455%,591,109,0,0,0%
"Onondaga County (Central)--Syracuse City PUMA, New York",Central NY,11692,5820,366,136,2.33676975945017%,22060,12434,1754,896,7.2060479330867%,2103,746,232,0,0%,1668,672,229,129,19.1964285714286%
"Onondaga County (North) PUMA, New York",Central NY,25399,12672,1125,621,4.90056818181818%,30094,14368,1563,832,5.79064587973274%,1468,893,0,0,0%,1155,700,0,0,0%
"Oswego County PUMA, New York",Central NY,11540,6286,222,222,3.53165765192491%,31637,13875,2922,640,4.61261261261261%,379,346,0,0,0%,453,0,99,0,#DIV/0!
Central NY,,106047,54697,3030,1624,2.96908422765417%,179569,85769,10735,5233,6.1012720213597%,5930,2813,416,111,3.94596516174902%,4127,1552,328,129,8.31185567010309%
"Genesee & Orleans Counties PUMA, New York",Finger Lakes,7915,4591,255,73,1.59006752341538%,30138,13784,1513,842,6.10853163087638%,41,27,0,0,0%,252,198,0,0,0%
"Livingston & Wyoming Counties PUMA, New York",Finger Lakes,8170,4531,41,0,0%,26911,12243,1346,786,6.41999509924038%,20,0,0,0,#DIV/0!,596,300,0,0,0%
"Monroe County (Central)--Greece & Gates Towns PUMA, New York",Finger Lakes,16028,8856,0,0,0%,32250,16254,955,729,4.48504983388704%,881,175,0,0,0%,2025,1203,399,0,0%
"Monroe County (Central)--Rochester City (East) PUMA, New York",Finger Lakes,16793,8410,172,0,0%,19484,8767,2524,1336,15.2389642979354%,401,350,100,100,28.5714285714286%,1210,805,0,0,0%
